sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
WLH002-Femur_L,426.860182551169,3.91256125551758,5.05742061770662,2.12813284141686,0.628477130913591,11.7265918455547,1205.21336631476,138.617071756116,89082.9362620609,177411.784426152,-33399.1000761316,77875.9214934298,188618.799194783,71.4509043343006,644.567438389884,91.6202313539322,32959.220243832,34366.5759549741,5691.11105021394,27928.4489096126,39397.3472891935,-48.5242832605233,593.44570815421,90.6552156330759,29234.2355804783,28595.6654822979,-816.516710474605,28038.2279520868,29791.6731106895,34.3214286664465,619.691358156244,90.9708339598259,29077.451833393,33480.4619303843,1257.61831870621,28743.5617816928,33814.3519820846,-75.131332113499,855.446962998685,106.547190187559,50828.7056688436,69773.3692480922,8426.21654836928,47623.2539434863,72978.8209734495,-69.1724785820267
WLH002-Femur_R,427.059490686985,3.47253208725934,4.71203698777544,2.27383990087278,0.518836104339487,10.977245080247,1161.55029083482,135.646544538884,80269.2365242245,166399.736532693,28410.6917209582,71742.0145776932,174926.958479224,-73.2933286304444,633.064790597024,90.4767055712703,31833.3013540174,32827.3976218719,-4769.96120019776,27534.5610544508,37126.1379214384,47.9744841987188,585.44589199299,88.9649087636722,27505.3102245887,28139.918655726,1422.73143754243,26364.9290459144,29280.2998344003,-51.2863068742488,644.304074036504,92.4566794935429,31520.0931450033,35881.7823897773,-1101.37732995611,31257.7604733865,36144.1150613941,76.6025805206948,899.29094909072,109.215165494645,56783.3270170108,76213.0386902464,-9754.90931061736,52730.9507576466,80265.4149496106,67.4410652424353
WLH003-Femur_L,396.069752163656,2.96976795548907,5.16959120726654,4.52087293937494,1.95214685858781,14.6123789607184,582.721597398298,95.3908672048094,18908.6951262312,42299.5265256746,1772.03867400102,18775.211069363,42433.0105825428,-85.692161559377,401.490756968018,71.9824162142916,12252.383015229,13768.3956091174,1677.61919663122,11169.4711404142,14851.3074839322,-57.15754798953,380.266754527639,72.114763324022,11335.9893319441,12293.897535127,-377.936055361917,11204.8346781699,12425.0521889012,70.8617587332614,409.5992069302,73.5766207602772,12854.8926281875,14213.8658188618,-112.387453173738,12845.6608682634,14223.0975787859,85.3041375234935,611.669100603571,90.372598437976,23895.4298616715,38318.3710472927,1742.28566253622,23687.9471967205,38525.8537122437,-83.2088300386307
WLH003-Femur_R,391.009488035603,3.37333045692068,5.50369768546009,4.83299339174991,2.33918472072797,16.0492062548587,637.526139963934,103.540857023402,23261.746317603,52618.4680348161,-363.67207438758,23257.2418266546,52622.9725257645,89.2903631010714,394.806227069453,71.2068367057091,12853.3388818591,12189.3035225639,-1105.40176889459,11367.1336913305,13675.5087130926,36.640936046504,370.715070933188,71.9187140938954,12122.4429780605,10591.488677572,571.591627844875,10401.6270101351,12312.3046454974,-18.3745850062269,409.815668677536,74.4787466583832,14076.0780590519,12921.3619554013,337.13796878975,12830.1361830077,14167.3038314455,-15.1410161974354,622.67871331823,91.0466313111673,25949.3504932021,37996.1451740433,-1976.9502141407,25633.2172776764,38312.278389569,80.9147762972142
WLH002-Tibia_L,367.069995897332,1.65215578459604,2.39487788229094,1.29226798049355,1.38775409354717,6.7270557409277,868.533463908633,111.675804690179,69272.5944372176,64358.4066052852,-25264.1595760871,41432.1384587139,92198.862583789,42.222552726391,549.944380549524,87.8929828035644,29068.134120221,23714.8492976469,-9441.86004487094,16577.5661077878,36205.41731008,37.0863341902921,419.143744527189,78.7157678862969,17081.6435690538,14121.9555900706,-5101.18805709371,10290.2971718559,20913.3019872685,36.9113332614347,373.804370281927,72.2816770572338,11403.9780506335,12523.6340166672,-3268.61188166223,8647.59871149566,15280.013355805,49.8594853227632,476.898333666986,79.9660490371531,16911.5706546152,20302.0030000798,-1262.47150900825,16493.1188819618,20720.4547727331,71.6619937080926
WLH002-Tibia_R,366.899780095868,2.00281490514141,2.48953321352814,1.70280452544498,1.41010438093246,7.60525702504698,923.036756806883,114.562800693713,77919.8638512584,71839.6275509582,27692.2195616006,47021.1502121974,102738.341190019,-41.8675103331397,580.779250071134,91.5048466971632,32770.6558148112,27323.3847050635,11998.5305567991,17743.2433537099,42350.7971661648,-38.6053668403657,442.53141531388,81.3758194188766,19100.4511606873,16086.3861203158,6382.35876157596,11035.549293041,24151.2879879621,-38.3571981398686,403.934569847712,75.5152978163695,13482.1099000193,14733.2245628451,4230.62423088438,9831.04433973013,18384.2901231343,-49.2055208172257,496.849678643897,80.8752412663604,18373.3107354586,21721.8544187381,1720.82139428118,17646.6634883485,22448.5016658482,-67.1072382093927
WLH003-Tibia_L,311.460026698321,0.192961163903384,0.718913065884429,1.33677791492377,0.914054278214822,3.16270642292641,548.548758857406,89.4059107659578,31064.5735535431,22338.8648135906,-7856.30848682627,17715.2804398931,35688.1579272405,30.4776066495068,364.120530093825,73.8720231576886,15103.1184249766,9097.8104071169,-3719.3202642726,7320.37296027195,16880.5558718216,25.5428130872169,294.327244136691,65.3205405925612,8343.22882445431,6923.64539636567,-2487.75475965207,5046.40637586169,10220.4678449583,37.0379002324237,252.619772169302,58.8154336789561,4870.70875677449,6020.35392200284,-1595.23845471341,3749.88788368234,7141.17479509499,54.9079703344742,317.195864814375,64.8114472526827,7178.25407608979,9253.85382797552,-39.4449879269254,7177.50472855811,9254.6031755072,88.9116668717377
WLH003-Tibia_R,311.310338779371,0.8930300986332,0.492526049867475,1.81091813864596,1.15450743915587,4.3509817263025,572.966179919998,92.2734893073049,34536.1421280396,23431.9171470799,6414.37156688019,20500.5093950576,37467.5498800619,-24.5606958579358,354.184271159028,71.3853630520726,14220.7053021746,7796.86819499065,1578.64165843049,7429.88604017501,14587.6874569902,-13.0869411994404,282.429388023464,63.8934995278047,7965.56816926054,6018.62029683972,1995.81150427814,4771.52784919894,9212.66061690132,-31.9994013835917,246.096616908532,57.8748623185761,4879.92949882696,5392.94920339678,1488.9238877496,3625.58143329478,6647.29726892897,-49.8874446586551,312.666360374425,64.1722004485902,6854.8388256448,9100.37339827995,262.506546918066,6824.55968340896,9130.65254051579,-83.4202254128006
WLH002-Humerus_L,309.179496703745,1.92183351061799,3.25519211233087,1.4584294846037,2.54002498867025,9.17548009622281,489.043778849512,81.2197003944142,20322.5600430069,18438.6982539863,-1267.83363754547,17801.1874931878,20960.0708038055,26.6948373758786,418.962464020036,74.7680934083847,16681.3187215752,12223.729677102,-1203.70845764915,11919.4550977608,16985.5933009163,14.1861095459489,382.854220553028,71.8047321876588,11508.0059446737,12757.0650554942,-2827.9695150819,9236.4262577014,15028.6447424664,51.2266659171062,335.004923725162,66.5474889625446,10016.2040498122,8307.64817372443,-739.343165038657,8032.13891449712,10291.7133090395,20.4374347452938,351.780720148987,73.448793524333,9610.43175478629,12642.5410837434,3003.72339256264,7761.8503372026,14491.1225013271,-58.3906126704974
WLH002-Humerus_R,315.479896048003,1.2796049217212,2.50163072031618,0.922655157419557,2.11208598139736,6.8159767808543,494.25240942971,81.0909243085379,20514.6310643814,19019.083289393,1140.36881821318,18403.1831585195,21130.5311952549,-28.372973840412,442.789280992726,77.7172131031397,18232.0353498322,14206.4765749376,1110.67862385732,13920.367564044,18518.1443607258,-14.4452510826847,394.716864266503,72.3229918201983,12223.9081476092,13555.9889183284,2948.61717554135,9867.04379698598,15912.8532689517,-51.3642448801141,349.001986825743,67.6671519075307,10404.9032839837,9353.63655467474,-174.767569104718,9325.34380760604,10433.1960310524,9.19571199712882,370.17576812782,77.6702434235304,10624.1879740425,15258.8880165351,-4354.85479075775,8008.49923915119,17874.5767514265,59.0093971005696
WLH003-Humerus_L,279.819835887951,0.623065018973288,1.81288171541228,2.43885394222826,3.32323871831917,8.198039394933,307.235463923751,64.001586097123,6449.83240988953,8976.30879497428,-52.1164668245042,6448.75780204903,8977.38340281478,88.8187654661772,223.306129016509,55.1806220761527,3740.03390621055,4543.65625309229,-522.843371139435,3482.43821750456,4801.25194179829,63.7713470565208,212.381224329625,53.8491833414583,4060.06194801242,3584.96382316258,-1117.08715456352,2680.44753371407,4964.57823746093,38.997427196176,194.160798095015,50.7538993905144,3585.22712435447,2613.02630490168,217.37518927307,2566.63673233012,3631.61669692603,-12.0466589183288,209.732078193029,56.7892059567899,3320.16653074234,4760.61167727897,1346.59360509387,2513.28894608881,5567.48926193251,-59.0699995736889
WLH003-Humerus_R,280.990291955912,0.980430540409136,2.16388166082693,2.041399995535,2.75659036828448,7.94230256505554,296.893142049644,63.6546709593475,6254.02441170085,8157.96154522881,133.988019746613,6244.64135624626,8167.34460068341,-85.9941700041801,225.326119469283,55.0131206883664,3875.63870709883,4517.06673381189,649.177148273652,3472.27506702034,4920.43037389038,-58.1454132235257,214.063498893343,54.1101248160889,4047.7002760229,3752.20876636557,1200.25668207393,2690.63863568995,5109.27040669852,-41.491235262815,193.082131022158,50.687597104686,3459.35902587138,2667.74606314147,-174.065141515462,2631.1621604999,3495.94292851294,11.8693068638176,205.271305716295,55.9568130249001,3074.55332973842,4539.00055831847,-964.633639542081,2595.71564093097,5017.83824712592,63.6005055311761
